Length (cm),Time (s)
2.5,0.33999999999999997
2.6,-0.4665
2.7,-0.352
2.8,-0.05099999999999999
3.1,0.012499999999999956
3.2,0.01150000000000001
3.3,0.01150000000000001
3.4,-0.2815
3.5,-0.3225
3.6,0.011999999999999983
3.7,0.015000000000000013
3.8,0.01200000000000001
4.1,0.013000000000000012
4.2,0.013500000000000068
4.3,0.013499999999999956
4.4,0.013499999999999956
4.5,0.012500000000000067
4.6,0.01100000000000001
4.7,0.013500000000000068
4.8,0.013000000000000012
5.1,0.012999999999999998
5.2,0.0119999999999999
5.3,0.013000000000000012
5.4,0.013000000000000012
5.5,0.013000000000000012
5.6,0.01200000000000001
5.7,0.01150000000000001
5.8,0.01200000000000001
6.1,0.016000000000000014
6.2,0.013000000000000123
6.3,0.013000000000000012
6.4,0.013000000000000012
6.5,0.011499999999999955
6.6,0.013499999999999956
6.7,0.014000000000000012
6.8,0.014000000000000012
7.1,0.014000000000000012
7.2,0.015000000000000013
7.3,0.016
7.4,0.01650000000000007
7.5,0.014000000000000012
7.6,0.015000000000000013
7.7,0.018500000000000003
7.8,0.016000000000000014
8.1,0.014000000000000012
8.2,0.015499999999999958
8.3,0.013000000000000345
8.4,0.015500000000000014
8.5,0.014500000000000013
8.6,0.013500000000000012
8.7,0.013999999999999901
8.8,0.014500000000000068
10.1,-1.4885
10.2,-1.4675
10.3,-1.1485
10.4,0.013999999999999957
10.5,0.013499999999999956
10.6,0.015500000000000014
10.7,0.015500000000000014
10.8,0.015000000000000013
12.1,-1.4655
12.2,-1.0034999999999998
12.3,-0.5640000000000001
12.4,0.01649999999999996
12.5,0.019000000000000017
12.6,0.01650000000000007
12.7,-0.284
12.8,0.015999999999999903
14.1,-2.947
14.2,-0.803
14.3,-0.5970000000000001
14.4,-0.6809999999999999
14.5,-0.4425
14.6,0.01849999999999996
14.7,-0.4535
14.8,-0.19899999999999998
16.1,-0.7839999999999999
16.2,-0.24850000000000005
16.3,-2.3835
16.4,-0.3315
16.5,-0.3835
16.6,-0.483
16.7,0.031500000000000083
16.8,0.019000000000000017
Length (cm),Time (s)
2.1,-0.351
2.2,0.42700000000000005
2.3,-0.412
2.4,-0.2995
2.5,0.33999999999999997
2.6,-0.4665
2.7,-0.352
2.8,-0.05099999999999999
3.1,0.012499999999999956
3.2,0.01150000000000001
3.3,0.01150000000000001
3.4,-0.2815
3.5,-0.3225
3.6,0.011999999999999983
3.7,0.015000000000000013
3.8,0.01200000000000001
4.1,0.013000000000000012
4.2,0.013500000000000068
4.3,0.013499999999999956
4.4,0.013499999999999956
4.5,0.012500000000000067
4.6,0.01100000000000001
4.7,0.013500000000000068
4.8,0.013000000000000012
5.1,0.012999999999999998
5.2,0.0119999999999999
5.3,0.013000000000000012
5.4,0.013000000000000012
5.5,0.013000000000000012
5.6,0.01200000000000001
5.7,0.01150000000000001
5.8,0.01200000000000001
6.1,0.016000000000000014
6.2,0.013000000000000123
6.3,0.013000000000000012
6.4,0.013000000000000012
6.5,0.011499999999999955
6.6,0.013499999999999956
6.7,0.014000000000000012
6.8,0.014000000000000012
7.1,0.014000000000000012
7.2,0.015000000000000013
7.3,0.016
7.4,0.01650000000000007
7.5,0.014000000000000012
7.6,0.015000000000000013
7.7,0.018500000000000003
7.8,0.016000000000000014
8.1,0.014000000000000012
8.2,0.015499999999999958
8.3,0.013000000000000345
8.4,0.015500000000000014
8.5,0.014500000000000013
8.6,0.013500000000000012
8.7,0.013999999999999901
8.8,0.014500000000000068
10.1,-1.4885
10.2,-1.4675
10.3,-1.1485
10.4,0.013999999999999957
10.5,0.013499999999999956
10.6,0.015500000000000014
10.7,0.015500000000000014
10.8,0.015000000000000013
12.1,-1.4655
12.2,-1.0034999999999998
12.3,-0.5640000000000001
12.4,0.01649999999999996
12.5,0.019000000000000017
12.6,0.01650000000000007
12.7,-0.284
12.8,0.015999999999999903
14.1,-2.947
14.2,-0.803
14.3,-0.5970000000000001
14.4,-0.6809999999999999
14.5,-0.4425
14.6,0.01849999999999996
14.7,-0.4535
14.8,-0.19899999999999998
16.1,-0.7839999999999999
16.2,-0.24850000000000005
16.3,-2.3835
16.4,-0.3315
16.5,-0.3835
16.6,-0.483
16.7,0.031500000000000083
16.8,0.019000000000000017
Length (cm),Time (s)
2.1,-0.351
2.2,0.42700000000000005
2.3,-0.412
2.4,-0.2995
2.5,0.33999999999999997
2.6,-0.4665
2.7,-0.352
2.8,-0.05099999999999999
3.1,0.012499999999999956
3.2,0.01150000000000001
3.3,0.01150000000000001
3.4,-0.2815
3.5,-0.3225
3.6,0.011999999999999983
3.7,0.015000000000000013
3.8,0.01200000000000001
4.1,0.013000000000000012
4.2,0.013500000000000068
4.3,0.013499999999999956
4.4,0.013499999999999956
4.5,0.012500000000000067
4.6,0.01100000000000001
4.7,0.013500000000000068
4.8,0.013000000000000012
5.1,0.012999999999999998
5.2,0.0119999999999999
5.3,0.013000000000000012
5.4,0.013000000000000012
5.5,0.013000000000000012
5.6,0.01200000000000001
5.7,0.01150000000000001
5.8,0.01200000000000001
6.1,0.016000000000000014
6.2,0.013000000000000123
6.3,0.013000000000000012
6.4,0.013000000000000012
6.5,0.011499999999999955
6.6,0.013499999999999956
6.7,0.014000000000000012
6.8,0.014000000000000012
7.1,0.014000000000000012
7.2,0.015000000000000013
7.3,0.016
7.4,0.01650000000000007
7.5,0.014000000000000012
7.6,0.015000000000000013
7.7,0.018500000000000003
7.8,0.016000000000000014
8.1,0.014000000000000012
8.2,0.015499999999999958
8.3,0.013000000000000345
8.4,0.015500000000000014
8.5,0.014500000000000013
8.6,0.013500000000000012
8.7,0.013999999999999901
8.8,0.014500000000000068
10.1,-1.4885
10.2,-1.4675
10.3,-1.1485
10.4,0.013999999999999957
10.5,0.013499999999999956
10.6,0.015500000000000014
10.7,0.015500000000000014
10.8,0.015000000000000013
12.1,-1.4655
12.2,-1.0034999999999998
12.3,-0.5640000000000001
12.4,0.01649999999999996
12.5,0.019000000000000017
12.6,0.01650000000000007
12.7,-0.284
12.8,0.015999999999999903
14.1,-2.947
14.2,-0.803
14.3,-0.5970000000000001
14.4,-0.6809999999999999
14.5,-0.4425
14.6,0.01849999999999996
14.7,-0.4535
14.8,-0.19899999999999998
16.1,-0.7839999999999999
16.2,-0.24850000000000005
16.3,-2.3835
16.4,-0.3315
16.5,-0.3835
16.6,-0.483
16.7,0.031500000000000083
16.8,0.019000000000000017
Length (cm),Time (s)
2.1,-0.351
2.2,0.42700000000000005
2.3,-0.412
2.4,-0.2995
2.5,0.33999999999999997
2.6,-0.4665
2.7,-0.352
2.8,-0.05099999999999999
3.1,0.012499999999999956
3.2,0.01150000000000001
3.3,0.01150000000000001
3.4,-0.2815
3.5,-0.3225
3.6,0.011999999999999983
3.7,0.015000000000000013
3.8,0.01200000000000001
4.1,0.013000000000000012
4.2,0.013500000000000068
4.3,0.013499999999999956
4.4,0.013499999999999956
4.5,0.012500000000000067
4.6,0.01100000000000001
4.7,0.013500000000000068
4.8,0.013000000000000012
5.1,0.012999999999999998
5.2,0.0119999999999999
5.3,0.013000000000000012
5.4,0.013000000000000012
5.5,0.013000000000000012
5.6,0.01200000000000001
5.7,0.01150000000000001
5.8,0.01200000000000001
6.1,0.016000000000000014
6.2,0.013000000000000123
6.3,0.013000000000000012
6.4,0.013000000000000012
6.5,0.011499999999999955
6.6,0.013499999999999956
6.7,0.014000000000000012
6.8,0.014000000000000012
7.1,0.014000000000000012
7.2,0.015000000000000013
7.3,0.016
7.4,0.01650000000000007
7.5,0.014000000000000012
7.6,0.015000000000000013
7.7,0.018500000000000003
7.8,0.016000000000000014
8.1,0.014000000000000012
8.2,0.015499999999999958
8.3,0.013000000000000345
8.4,0.015500000000000014
8.5,0.014500000000000013
8.6,0.013500000000000012
8.7,0.013999999999999901
8.8,0.014500000000000068
10.1,-1.4885
10.2,-1.4675
10.3,-1.1485
10.4,0.013999999999999957
10.5,0.013499999999999956
10.6,0.015500000000000014
10.7,0.015500000000000014
10.8,0.015000000000000013
12.1,-1.4655
12.2,-1.0034999999999998
12.3,-0.5640000000000001
12.4,0.01649999999999996
12.5,0.019000000000000017
12.6,0.01650000000000007
12.7,-0.284
12.8,0.015999999999999903
14.1,-2.947
14.2,-0.803
14.3,-0.5970000000000001
14.4,-0.6809999999999999
14.5,-0.4425
14.6,0.01849999999999996
14.7,-0.4535
14.8,-0.19899999999999998
16.1,-0.7839999999999999
16.2,-0.24850000000000005
16.3,-2.3835
16.4,-0.3315
16.5,-0.3835
16.6,-0.483
16.7,0.031500000000000083
16.8,0.019000000000000017
Length (cm),Time (s)
2.1,-0.351
2.2,0.42700000000000005
2.3,-0.412
2.4,-0.2995
2.5,0.33999999999999997
2.6,-0.4665
2.7,-0.352
2.8,-0.05099999999999999
3.1,0.012499999999999956
3.2,0.01150000000000001
3.3,0.01150000000000001
3.4,-0.2815
3.5,-0.3225
3.6,0.011999999999999983
3.7,0.015000000000000013
3.8,0.01200000000000001
4.1,0.013000000000000012
4.2,0.013500000000000068
4.3,0.013499999999999956
4.4,0.013499999999999956
4.5,0.012500000000000067
4.6,0.01100000000000001
4.7,0.013500000000000068
4.8,0.013000000000000012
5.1,0.012999999999999998
5.2,0.0119999999999999
5.3,0.013000000000000012
5.4,0.013000000000000012
5.5,0.013000000000000012
5.6,0.01200000000000001
5.7,0.01150000000000001
5.8,0.01200000000000001
6.1,0.016000000000000014
6.2,0.013000000000000123
6.3,0.013000000000000012
6.4,0.013000000000000012
6.5,0.011499999999999955
6.6,0.013499999999999956
6.7,0.014000000000000012
6.8,0.014000000000000012
7.1,0.014000000000000012
7.2,0.015000000000000013
7.3,0.016
7.4,0.01650000000000007
7.5,0.014000000000000012
7.6,0.015000000000000013
7.7,0.018500000000000003
7.8,0.016000000000000014
8.1,0.014000000000000012
8.2,0.015499999999999958
8.3,0.013000000000000345
8.4,0.015500000000000014
8.5,0.014500000000000013
8.6,0.013500000000000012
8.7,0.013999999999999901
8.8,0.014500000000000068
10.1,-1.4885
10.2,-1.4675
10.3,-1.1485
10.4,0.013999999999999957
10.5,0.013499999999999956
10.6,0.015500000000000014
10.7,0.015500000000000014
10.8,0.015000000000000013
12.1,-1.4655
12.2,-1.0034999999999998
12.3,-0.5640000000000001
12.4,0.01649999999999996
12.5,0.019000000000000017
12.6,0.01650000000000007
12.7,-0.284
12.8,0.015999999999999903
14.1,-2.947
14.2,-0.803
14.3,-0.5970000000000001
14.4,-0.6809999999999999
14.5,-0.4425
14.6,0.01849999999999996
14.7,-0.4535
14.8,-0.19899999999999998
16.1,-0.7839999999999999
16.2,-0.24850000000000005
16.3,-2.3835
16.4,-0.3315
16.5,-0.3835
16.6,-0.483
16.7,0.031500000000000083
16.8,0.019000000000000017
Length (cm),Time (s)
2.1,-0.351
2.2,0.42700000000000005
2.3,-0.412
2.4,-0.2995
2.5,0.33999999999999997
2.6,-0.4665
2.7,-0.352
2.8,-0.05099999999999999
3.1,0.012499999999999956
3.2,0.01150000000000001
3.3,0.01150000000000001
3.4,-0.2815
3.5,-0.3225
3.6,0.011999999999999983
3.7,0.015000000000000013
3.8,0.01200000000000001
4.1,0.013000000000000012
4.2,0.013500000000000068
4.3,0.013499999999999956
4.4,0.013499999999999956
4.5,0.012500000000000067
4.6,0.01100000000000001
4.7,0.013500000000000068
4.8,0.013000000000000012
5.1,0.012999999999999998
5.2,0.0119999999999999
5.3,0.013000000000000012
5.4,0.013000000000000012
5.5,0.013000000000000012
5.6,0.01200000000000001
5.7,0.01150000000000001
5.8,0.01200000000000001
6.1,0.016000000000000014
6.2,0.013000000000000123
6.3,0.013000000000000012
6.4,0.013000000000000012
6.5,0.011499999999999955
6.6,0.013499999999999956
6.7,0.014000000000000012
6.8,0.014000000000000012
7.1,0.014000000000000012
7.2,0.015000000000000013
7.3,0.016
7.4,0.01650000000000007
7.5,0.014000000000000012
7.6,0.015000000000000013
7.7,0.018500000000000003
7.8,0.016000000000000014
8.1,0.014000000000000012
8.2,0.015499999999999958
8.3,0.013000000000000345
8.4,0.015500000000000014
8.5,0.014500000000000013
8.6,0.013500000000000012
8.7,0.013999999999999901
8.8,0.014500000000000068
10.1,-1.4885
10.2,-1.4675
10.3,-1.1485
10.4,0.013999999999999957
10.5,0.013499999999999956
10.6,0.015500000000000014
10.7,0.015500000000000014
10.8,0.015000000000000013
12.1,-1.4655
12.2,-1.0034999999999998
12.3,-0.5640000000000001
12.4,0.01649999999999996
12.5,0.019000000000000017
12.6,0.01650000000000007
12.7,-0.284
12.8,0.015999999999999903
14.1,-2.947
14.2,-0.803
14.3,-0.5970000000000001
14.4,-0.6809999999999999
14.5,-0.4425
14.6,0.01849999999999996
14.7,-0.4535
14.8,-0.19899999999999998
16.1,-0.7839999999999999
16.2,-0.24850000000000005
16.3,-2.3835
16.4,-0.3315
16.5,-0.3835
16.6,-0.483
16.7,0.031500000000000083
16.8,0.019000000000000017
